iter	Passed	Remaining
346	710	1336
347	711	1333
348	713	1330
349	714	1327
350	716	1324
351	717	1321
352	719	1318
353	721	1316
354	722	1313
355	724	1310
356	726	1308
357	728	1305
358	729	1302
359	731	1300
360	732	1296
361	734	1294
362	736	1292
363	738	1289
364	739	1286
365	741	1283
366	742	1281
367	744	1278
368	745	1275
369	747	1273
370	750	1271
371	751	1269
372	753	1266
373	754	1263
374	756	1260
375	758	1258
376	759	1255
377	761	1252
378	762	1249
379	764	1247
380	766	1245
381	767	1242
382	769	1239
383	771	1237
384	772	1234
385	774	1231
386	775	1228
387	777	1226
388	779	1223
389	780	1221
390	782	1219
391	784	1216
392	785	1213
393	787	1211
394	789	1208
395	790	1205
396	792	1203
397	794	1202
398	796	1200
399	798	1197
400	800	1195
401	801	1192
402	803	1190
403	805	1187
404	807	1185
405	808	1183
406	810	1180
407	811	1178
408	813	1175
409	815	1172
410	816	1170
411	818	1168
412	820	1165
413	821	1163
414	823	1161
415	825	1159
416	827	1156
417	829	1154
418	830	1151
419	832	1149
420	833	1146
421	835	1143
422	836	1141
423	839	1139
424	840	1137
425	842	1134
426	843	1132
427	845	1129
428	846	1126
429	848	1124
430	850	1122
431	851	1120
432	853	1117
433	855	1115
434	856	1112
435	858	1110
436	859	1107
437	861	1105
438	862	1102
439	864	1100
440	867	1099
441	871	1099
442	873	1097
443	874	1095
444	877	1093
445	879	1092
446	884	1094
447	887	1093
448	889	1091
449	891	1090
450	897	1092
451	898	1089
452	900	1087
453	902	1085
454	905	1084
